instelling.naam;objectnummer;object_categorie;objectnaam;titel;beschrijving;vervaardiger;vervaardiger.rol;vervaardiging.plaats;vervaardiging.datum.begin.prec;vervaardiging.datum.begin;vervaardiging.datum.eind.prec;vervaardiging.datum.eind;associatie.onderwerp;associatie.persoon;associatie.periode;inhoud.onderwerp;inhoud.persoon.naam
Het Huis van Alijn (Gent);1982-280;"";pop;Popje met uniform van Britse paleiswacht;"";onbekend;"";"";"";"";"";"";speelgoed$Verenigd Koninkrijk;"";"";"";""
Het Huis van Alijn (Gent);1926-377;"";strijkijzer;Kachelbout van gietijzer;Dit strijkijzer met afbeelding van een verliefd koppel werd vermoedelijk als huwelijksgeschenk gegeven.;"";"";"";"";"";"";"";huishouden$schoonmaak$huwelijk;"";jaren 1900;man$vrouw;""
Het Huis van Alijn (Gent);2009-046-075;"";cosmetica;Kindercosmetica Petite Chérie;"";Novell$;fabrikant$;Frankrijk$West-Duitsland;"";1982;"";"";speelgoed$lichaamsverzorging;"";jaren 1980;"";""
Het Huis van Alijn (Gent);2004-288-112;"";volksprent;La chanson des poupées;"";Pellerin$Bigot, Georges$Célès, Jules;uitgever$tekenaar$auteur;Epinal$$;na;1900;voor;1909;speelgoed$lied;"";jaren 1900;kind$pop;""
Het Huis van Alijn (Gent);1977-109-079;"";menukaart;Menukaart huwelijksfeest, 1901;Feestmaal ter gelegenheid van het huwelijk van Auguste De Rechter en Marie Bracke op 15 juni 1901.;Snoeck-Ducaju en zoon;drukker;Gent;"";1901-06-15;"";"";huwelijk$banket;"";jaren 1900;duif$ring (sieraad);""
Het Huis van Alijn (Gent);1974-379-012;"";foto;Processie Heilige Godelieve, Klein Begijnhof, Gent;Deze foto werd genomen in het Klein Begijnhof Onze-Lieve-Vrouw Ter Hoye in de Lange Violettestraat in Gent.;"";"";"";"";"";"";"";optocht$processie$Klein Begijnhof (Gent)$Lange Violettestraat (Gent)$Gent;Godelieve;"";begijn;""
Het Huis van Alijn (Gent);1974-001;"";gezelschapsspel;Boerenschroom;"";onbekend;"";"";"";"";"";"";speelgoed;"";"";"";""
Het Huis van Alijn (Gent);FO-80-00635;"";digitale afbeelding;Jongen op schoot van Sinterklaas, ca. 1982;"";"";"";"";ca.;1982;"";"";Sinterklaas;"";jaren 1980;Sinterklaas;""
Het Huis van Alijn (Gent);2002-078-804;"";affiche;Affiche voor komisch artiest Goddin, 1905;Affiche voor komisch artiest Goddin. Witte achtergrond. Gekleurde tekening van Goddin met geruite pofbroek en slechts één schoen, in zijn hand houdt hij een dampend pistool, achter hem staat een bord dat als doel fungeert bij het pistoolnummer.;Clément, Le Roy et Cie$Kisma - Strack;drukker$ontwerper;Parijs$;"";1905;"";"";clown$jongleur$circus;Goddin, Charles-Guillaume;jaren 1900;august;Goddin, Charles-Guillaume
Het Huis van Alijn (Gent);2002-078-343;"";affiche;Affiche voor circus Demuynck in Hannut, 1949;Affiche voor Cirque Demuynck. Tekstaffiche.;Hussein;drukker;Gent;"";1949;"";"";Hannut$circus;Demuynck (circus);jaren 1940;"";""
